year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2023,1,1,1,11.06,9.3,0.4,0.0,4.0,44.0,2.3,320,8.7,35.1016,129.0343,69.23
2023,1,2,2,12.22,7.8,0.5,0.0,3.1,20.0,2.5,290,8.6,35.1016,129.0343,69.23
2023,1,3,3,13.48,6.8,-1.7,0.0,1.5,28.0,3.1,270,9.0,35.1016,129.0343,69.23
2023,1,4,4,12.4,8.5,-2.0,0.0,2.6,40.0,2.7,270,9.2,35.1016,129.0343,69.23
2023,1,5,5,9.76,9.4,1.1,0.0,4.6,47.1,2.1,320,7.5,35.1016,129.0343,69.23
2023,1,6,6,12.11,11.3,1.3,0.0,5.3,51.3,3.3,320,8.9,35.1016,129.0343,69.23
2023,1,7,7,9.88,9.9,3.6,1.0,5.7,52.9,3.7,270,6.9,35.1016,129.0343,69.23
2023,1,8,8,12.87,11.9,1.4,0.0,6.2,42.4,2.9,270,9.2,35.1016,129.0343,69.23
2023,1,9,9,11.1,14.2,5.7,0.0,9.3,56.9,3.6,250,8.5,35.1016,129.0343,69.23
2023,1,10,10,12.51,13.3,3.9,0.0,7.8,58.1,2.2,50,8.6,35.1016,129.0343,69.23
2023,1,11,11,12.42,13.6,4.8,0.0,8.9,60.8,2.7,270,9.3,35.1016,129.0343,69.23
2023,1,12,12,11.24,17.2,6.3,0.8,11.8,71.1,1.6,180,7.1,35.1016,129.0343,69.23
2023,1,13,13,1.89,16.3,13.7,77.1,14.6,98.8,3.0,200,0.0,35.1016,129.0343,69.23
2023,1,14,14,1.53,14.2,8.0,0.3,10.3,89.8,3.2,50,0.0,35.1016,129.0343,69.23
2023,1,15,15,1.11,8.1,1.5,0.0,6.0,86.8,2.6,50,0.0,35.1016,129.0343,69.23
2023,1,16,16,13.82,6.9,-1.8,0.0,1.3,50.5,5.8,320,9.0,35.1016,129.0343,69.23
2023,1,17,17,12.45,6.4,-2.1,0.0,1.5,39.5,3.8,320,8.3,35.1016,129.0343,69.23
2023,1,18,18,12.18,6.9,-0.1,0.0,2.5,54.0,2.8,320,8.1,35.1016,129.0343,69.23
2023,1,19,19,13.83,8.0,-0.8,0.0,2.9,54.5,2.9,250,9.5,35.1016,129.0343,69.23
2023,1,20,20,13.46,8.4,-1.9,0.0,3.3,39.0,4.6,250,9.0,35.1016,129.0343,69.23
2023,1,21,21,14.98,7.2,-3.9,0.0,0.8,25.6,3.0,320,9.5,35.1016,129.0343,69.23
2023,1,22,22,5.92,8.5,-0.2,0.0,4.3,50.1,2.0,50,0.4,35.1016,129.0343,69.23
2023,1,23,23,13.32,12.8,2.0,0.0,6.6,51.6,2.4,320,8.1,35.1016,129.0343,69.23
2023,1,24,24,15.49,4.8,-10.6,0.0,-5.6,32.8,5.1,270,9.5,35.1016,129.0343,69.23
2023,1,25,25,15.87,0.4,-12.0,0.0,-6.4,27.5,3.5,270,9.9,35.1016,129.0343,69.23
2023,1,26,26,9.39,4.8,-6.4,0.0,-0.1,45.6,2.5,230,2.3,35.1016,129.0343,69.23
2023,1,27,27,15.07,3.0,-5.5,0.0,-1.1,35.6,4.3,270,9.2,35.1016,129.0343,69.23
2023,1,28,28,15.02,2.4,-7.6,0.0,-2.8,42.4,4.6,290,9.9,35.1016,129.0343,69.23
2023,1,29,29,15.33,6.6,-3.8,0.0,1.5,51.5,3.3,250,9.9,35.1016,129.0343,69.23
2023,1,30,30,15.64,7.4,-0.7,0.0,3.0,31.8,3.3,270,10.0,35.1016,129.0343,69.23
2023,1,31,31,15.36,10.4,-0.1,0.0,5.1,42.1,3.8,250,10.0,35.1016,129.0343,69.23
2023,2,1,32,12.5,14.7,2.8,0.0,8.6,48.0,4.6,250,7.1,35.1016,129.0343,69.23
2023,2,2,33,12.84,9.7,0.0,0.0,4.4,43.0,2.4,320,8.0,35.1016,129.0343,69.23
2023,2,3,34,8.95,10.8,2.4,0.0,5.6,50.8,1.9,320,3.5,35.1016,129.0343,69.23
2023,2,4,35,15.57,8.1,0.0,0.0,3.4,31.9,3.6,320,10.0,35.1016,129.0343,69.23
2023,2,5,36,16.39,10.9,0.6,0.0,5.2,36.6,2.7,320,10.1,35.1016,129.0343,69.23
2023,2,6,37,10.5,12.3,2.4,0.0,7.4,35.8,1.7,50,4.6,35.1016,129.0343,69.23
2023,2,7,38,12.78,15.7,6.1,0.0,9.2,65.1,2.7,50,6.4,35.1016,129.0343,69.23
2023,2,8,39,16.17,13.6,4.8,0.0,8.5,47.5,2.0,320,9.9,35.1016,129.0343,69.23
2023,2,9,40,8.49,12.3,4.2,4.5,7.3,58.3,3.2,50,3.2,35.1016,129.0343,69.23
2023,2,10,41,12.97,11.4,3.8,16.8,6.3,81.0,3.2,50,5.2,35.1016,129.0343,69.23
2023,2,11,42,8.89,12.1,3.2,0.0,7.5,68.0,1.2,320,2.6,35.1016,129.0343,69.23
2023,2,12,43,8.7,13.6,5.5,0.8,8.7,64.6,2.6,50,2.9,35.1016,129.0343,69.23
2023,2,13,44,4.48,8.7,5.0,0.7,7.0,76.5,3.8,50,0.2,35.1016,129.0343,69.23
2023,2,14,45,11.57,11.3,3.2,0.0,5.8,68.8,2.5,50,5.3,35.1016,129.0343,69.23
2023,2,15,46,10.23,8.2,1.7,0.0,3.7,74.1,3.4,50,2.2,35.1016,129.0343,69.23
2023,2,16,47,9.22,9.7,2.5,0.0,6.2,69.9,2.8,50,1.6,35.1016,129.0343,69.23
2023,2,17,48,6.65,10.2,4.4,1.2,7.4,62.3,2.1,250,0.7,35.1016,129.0343,69.23
2023,2,18,49,3.8,12.3,5.7,6.0,9.3,94.5,2.4,250,0.0,35.1016,129.0343,69.23
2023,2,19,50,16.14,14.8,4.5,0.0,9.6,58.4,4.1,270,8.6,35.1016,129.0343,69.23
2023,2,20,51,16.64,10.3,0.1,0.0,4.0,30.3,3.4,320,9.7,35.1016,129.0343,69.23
2023,2,21,52,18.31,9.1,-2.7,0.0,2.6,45.3,3.3,50,9.1,35.1016,129.0343,69.23
2023,2,22,53,17.7,11.3,1.3,0.0,6.5,55.8,3.0,50,8.7,35.1016,129.0343,69.23
2023,2,23,54,17.75,14.3,5.6,0.0,8.9,62.4,3.2,250,8.5,35.1016,129.0343,69.23
2023,2,24,55,17.53,14.6,5.5,0.0,9.3,41.9,3.0,290,9.6,35.1016,129.0343,69.23
2023,2,25,56,17.82,10.6,0.6,0.0,4.9,50.1,3.3,320,8.0,35.1016,129.0343,69.23
2023,2,26,57,19.62,11.6,-0.1,0.0,5.7,40.9,2.3,180,10.6,35.1016,129.0343,69.23
2023,2,27,58,20.4,13.3,3.2,0.0,8.3,47.4,2.9,200,10.6,35.1016,129.0343,69.23
2023,2,28,59,20.37,14.9,5.7,0.0,10.0,59.8,6.1,250,10.6,35.1016,129.0343,69.23
2023,3,1,60,5.19,12.2,5.6,0.6,9.9,64.8,4.0,250,0.1,35.1016,129.0343,69.23
2023,3,2,61,21.15,10.4,2.3,0.0,5.3,30.9,3.2,320,10.6,35.1016,129.0343,69.23
2023,3,3,62,20.55,14.0,1.1,0.0,7.4,30.4,4.0,270,10.6,35.1016,129.0343,69.23
2023,3,4,63,15.69,17.0,6.1,0.0,10.7,47.4,2.4,50,7.1,35.1016,129.0343,69.23
2023,3,5,64,19.52,15.7,7.2,0.0,10.6,62.3,2.6,50,9.8,35.1016,129.0343,69.23
2023,3,6,65,19.62,16.4,7.4,0.0,11.7,57.9,3.3,290,10.3,35.1016,129.0343,69.23
2023,3,7,66,17.7,18.2,9.3,0.0,13.1,59.1,4.9,250,9.7,35.1016,129.0343,69.23
2023,3,8,67,17.86,18.1,11.4,0.0,14.6,58.0,5.2,250,10.2,35.1016,129.0343,69.23
2023,3,9,68,16.37,18.3,13.1,0.0,15.3,85.8,6.0,230,7.1,35.1016,129.0343,69.23
2023,3,10,69,20.01,20.3,10.7,0.0,14.4,78.0,2.2,50,10.1,35.1016,129.0343,69.23
2023,3,11,70,17.56,20.6,11.3,0.0,14.3,85.1,3.3,180,8.9,35.1016,129.0343,69.23
2023,3,12,71,8.09,18.5,2.9,8.3,11.4,79.8,4.3,270,0.8,35.1016,129.0343,69.23
2023,3,13,72,23.05,12.1,0.0,0.0,5.4,40.1,3.8,270,11.2,35.1016,129.0343,69.23
2023,3,14,73,22.56,14.2,6.8,0.0,10.1,56.4,4.2,250,10.1,35.1016,129.0343,69.23
2023,3,15,74,10.74,17.7,10.1,0.0,14.3,77.4,6.0,230,2.6,35.1016,129.0343,69.23
2023,3,16,75,18.49,16.3,9.1,0.0,12.2,62.1,3.5,320,7.1,35.1016,129.0343,69.23
2023,3,17,76,11.45,14.8,8.4,0.0,10.2,63.5,3.1,50,2.2,35.1016,129.0343,69.23
2023,3,18,77,16.35,16.4,8.7,0.0,11.2,63.1,2.3,50,5.2,35.1016,129.0343,69.23
2023,3,19,78,22.73,17.6,7.3,0.0,12.0,51.0,2.9,110,11.0,35.1016,129.0343,69.23
2023,3,20,79,21.02,17.3,8.2,0.0,13.0,51.6,3.2,180,9.9,35.1016,129.0343,69.23
2023,3,21,80,12.21,19.5,12.0,0.0,15.3,61.3,2.2,50,3.1,35.1016,129.0343,69.23
2023,3,22,81,9.17,19.3,14.0,7.9,16.2,85.4,2.5,50,0.0,35.1016,129.0343,69.23
2023,3,23,82,3.63,16.7,14.2,56.0,15.4,94.9,2.3,50,0.0,35.1016,129.0343,69.23
2023,3,24,83,9.46,16.6,8.5,3.2,12.2,81.9,3.3,50,0.5,35.1016,129.0343,69.23
2023,3,25,84,13.25,15.5,8.8,0.2,11.1,69.9,3.2,50,3.3,35.1016,129.0343,69.23
2023,3,26,85,17.04,16.1,9.2,0.0,12.0,74.8,2.2,50,4.8,35.1016,129.0343,69.23
2023,3,27,86,23.62,16.0,7.3,0.0,11.3,48.4,2.6,180,9.5,35.1016,129.0343,69.23
2023,3,28,87,24.19,16.8,6.9,0.0,12.5,53.0,2.9,250,11.1,35.1016,129.0343,69.23
2023,3,29,88,20.76,18.6,9.4,0.0,13.7,57.6,2.2,180,9.9,35.1016,129.0343,69.23
2023,3,30,89,18.58,21.2,10.9,0.0,15.5,48.3,2.1,180,8.1,35.1016,129.0343,69.23
2023,3,31,90,24.48,23.6,13.8,0.0,17.9,39.4,2.7,70,11.0,35.1016,129.0343,69.23
2023,4,1,91,22.86,21.5,11.1,0.0,15.7,56.5,2.6,50,10.9,35.1016,129.0343,69.23
2023,4,2,92,25.18,21.2,11.1,0.0,15.1,57.9,4.0,50,11.5,35.1016,129.0343,69.23
2023,4,3,93,25.61,20.4,11.1,0.0,14.3,63.5,3.9,50,11.3,35.1016,129.0343,69.23
2023,4,4,94,18.04,20.1,10.5,0.3,15.3,73.6,2.5,50,5.1,35.1016,129.0343,69.23
2023,4,5,95,0.95,15.9,14.0,44.8,14.9,94.1,5.1,180,0.0,35.1016,129.0343,69.23
2023,4,6,96,21.24,16.5,10.5,2.2,12.8,78.9,5.9,250,6.5,35.1016,129.0343,69.23
2023,4,7,97,23.25,19.2,9.0,4.4,13.3,55.3,3.4,270,9.6,35.1016,129.0343,69.23
2023,4,8,98,26.94,17.4,4.9,0.0,11.2,29.8,3.8,270,11.6,35.1016,129.0343,69.23
2023,4,9,99,27.73,18.4,7.1,0.0,12.7,38.4,4.1,250,11.7,35.1016,129.0343,69.23
2023,4,10,100,25.71,17.9,10.6,0.0,14.2,60.4,6.5,230,11.1,35.1016,129.0343,69.23
2023,4,11,101,20.0,19.8,13.7,0.2,16.7,80.5,7.8,200,5.9,35.1016,129.0343,69.23
2023,4,12,102,27.0,19.8,11.5,0.0,15.1,38.3,3.6,200,11.2,35.1016,129.0343,69.23
2023,4,13,103,25.14,20.1,10.5,0.0,15.4,39.3,3.7,180,10.8,35.1016,129.0343,69.23
2023,4,14,104,6.12,18.0,12.5,9.0,14.7,81.9,3.1,250,0.2,35.1016,129.0343,69.23
2023,4,15,105,6.22,17.4,10.5,6.0,13.1,91.3,2.2,50,0.4,35.1016,129.0343,69.23
2023,4,16,106,16.52,18.7,9.5,5.4,12.5,77.8,2.2,50,4.1,35.1016,129.0343,69.23
2023,4,17,107,25.92,18.3,9.1,0.0,14.0,67.6,3.5,250,11.0,35.1016,129.0343,69.23
2023,4,18,108,6.04,19.6,13.3,0.1,16.8,88.4,5.1,230,0.1,35.1016,129.0343,69.23
2023,4,19,109,5.29,19.2,15.1,0.3,17.0,90.3,2.0,70,0.0,35.1016,129.0343,69.23
2023,4,20,110,25.5,25.1,15.4,0.0,20.0,73.1,3.2,180,11.2,35.1016,129.0343,69.23
2023,4,21,111,23.64,21.6,12.9,0.0,17.3,54.8,3.7,50,10.1,35.1016,129.0343,69.23
2023,4,22,112,25.84,18.1,11.5,0.0,14.0,52.0,4.3,50,10.8,35.1016,129.0343,69.23
2023,4,23,113,17.82,18.1,10.5,0.0,13.4,58.1,3.5,50,5.0,35.1016,129.0343,69.23
2023,4,24,114,8.1,15.6,12.0,0.0,13.2,62.8,3.0,50,0.0,35.1016,129.0343,69.23
2023,4,25,115,4.67,12.3,8.9,15.8,10.4,89.1,2.3,50,0.0,35.1016,129.0343,69.23
2023,4,26,116,28.25,19.5,8.1,0.0,13.3,66.3,3.3,250,12.0,35.1016,129.0343,69.23
2023,4,27,117,27.52,20.6,10.9,0.0,15.2,66.1,2.9,50,11.6,35.1016,129.0343,69.23
2023,4,28,118,28.11,20.9,12.4,0.0,16.7,78.6,4.9,230,10.6,35.1016,129.0343,69.23
2023,4,29,119,3.51,18.5,12.4,13.1,15.8,95.3,4.9,200,0.0,35.1016,129.0343,69.23
2023,4,30,120,28.89,18.8,10.1,0.0,15.1,57.8,4.3,200,12.1,35.1016,129.0343,69.23
2023,5,1,121,28.79,22.6,13.3,0.0,16.0,55.5,3.7,250,12.1,35.1016,129.0343,69.23
