,year,doy,week,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,2,1,1,3.7,-1.0571428571428572,-5.242857142857143,3.9571428571428577,0.0,44.27142857142858,4.985714285714287,43.5,49.455999999999996,0,0,0,0,0,0,7,-7.4,7,-7.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,9,2,0,0.0,1.4857142857142858,-3.8285714285714287,6.757142857142857,0.0,45.285714285714285,4.728571428571428,53.39999999999999,57.419000000000004,0,0,0,0,0,0,7,10.4,7,10.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,16,3,0,0.0,-3.257142857142857,-7.342857142857143,2.0142857142857142,0.0,41.84285714285714,4.9,57.699999999999996,62.622,0,0,0,0,0,0,7,-22.8,7,-22.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,23,4,0,0.0,-4.642857142857143,-9.5,1.7714285714285711,0.0,43.24285714285715,4.885714285714286,61.00000000000001,67.79899999999999,0,0,0,0,0,0,7,-32.5,7,-32.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,30,5,0,0.0,-2.2714285714285714,-7.157142857142858,3.4285714285714293,0.0,50.628571428571426,4.642857142857143,51.89999999999999,56.707,0,0,0,0,0,0,7,-15.899999999999999,7,-15.899999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,37,6,0,0.0,-3.7428571428571433,-8.1,2.357142857142857,0.0,48.32857142857143,4.828571428571428,55.7,58.112,0,0,0,0,0,0,7,-26.200000000000003,7,-26.200000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,1984,44,7,1,1.3,-0.15714285714285717,-4.571428571428571,4.885714285714286,0.0,54.542857142857144,4.8,57.1,61.138,0,0,0,0,0,0,7,-1.1,7,-1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,1984,51,8,4,22.7,2.6285714285714286,-1.0571428571428572,7.299999999999999,0.0,72.95714285714286,4.457142857142856,31.2,45.714,1,0,0,0,0,0,7,18.4,7,18.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,1984,58,9,0,0.0,-0.7571428571428572,-4.385714285714286,4.214285714285714,0.0,42.628571428571426,5.114285714285715,63.9,65.95,0,0,0,0,0,0,7,-5.300000000000001,7,-5.300000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,1984,65,10,0,0.0,2.2,-1.957142857142857,7.157142857142858,0.0,49.81428571428571,4.857142857142857,67.0,65.27799999999999,0,0,0,0,0,0,7,15.4,7,15.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,1984,72,11,0,0.0,4.514285714285714,-4.7580986769649563e-17,8.6,0.0,61.871428571428574,4.685714285714286,48.699999999999996,55.27,0,0,0,0,0,0,5,17.9,7,31.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,1984,79,12,3,22.5,3.6285714285714286,0.02857142857142855,7.614285714285715,0.0,69.64285714285714,5.057142857142857,46.10000000000001,55.913999999999994,1,0,0,0,0,0,5,12.899999999999999,7,25.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,1984,86,13,2,0.9,6.128571428571428,2.2285714285714286,10.585714285714285,11.3,70.97142857142858,4.700000000000001,47.1,57.787000000000006,0,0,0,0,0,0,3,12.399999999999999,6,31.599999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,1984,93,14,2,12.7,7.299999999999999,2.8428571428571425,11.114285714285714,10.2,69.41428571428573,4.714285714285714,41.8,48.402,0,0,0,0,0,0,1,4.9,6,40.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,1984,100,15,2,2.4,8.299999999999999,3.557142857142857,12.142857142857142,10.8,82.15714285714286,3.914285714285714,50.099999999999994,55.30799999999999,0,0,0,0,0,0,0,0.0,6,47.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,1984,107,16,3,53.3,9.028571428571428,4.342857142857143,14.071428571428571,22.2,77.95714285714287,5.314285714285715,41.2,51.538,1,1,0,0,0,0,0,0.0,5,41.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,1984,114,17,3,35.800000000000004,11.257142857142856,8.414285714285713,14.542857142857143,78.8,85.92857142857143,3.657142857142857,36.099999999999994,50.035,1,1,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17,1984,121,18,1,3.1,13.171428571428573,8.514285714285716,16.84285714285714,92.2,73.62857142857142,4.928571428571429,51.4,54.85,0,0,0,0,0,0,0,0.0,1,10.0,2,36.1,1,20.2,0,0.0,0,0.0,0,0.0,0,0.0
18,1984,128,19,1,31.0,16.128571428571426,12.342857142857142,21.24285714285714,112.89999999999999,67.47142857142858,5.414285714285714,53.599999999999994,56.934999999999995,1,1,0,0,0,0,0,0.0,0,0.0,3,59.6,1,21.9,0,0.0,0,0.0,0,0.0,0,0.0
19,1984,135,20,0,0.0,13.185714285714287,8.457142857142857,16.22857142857143,92.30000000000001,81.52857142857144,3.4,71.6,71.369,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20,1984,142,21,0,0.0,15.200000000000001,10.314285714285715,18.828571428571426,106.4,78.17142857142858,2.814285714285714,72.2,74.63799999999999,0,0,0,0,0,0,0,0.0,0,0.0,4,64.19999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21,1984,149,22,0,0.0,18.15714285714286,15.285714285714288,22.271428571428572,127.10000000000001,83.51428571428572,3.085714285714286,57.50000000000001,63.30800000000001,0,0,0,0,0,0,0,0.0,0,0.0,7,127.10000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
22,1984,156,23,2,44.2,18.271428571428572,13.614285714285716,22.74285714285714,127.9,83.1,4.471428571428571,42.900000000000006,49.453,1,1,0,0,0,0,0,0.0,0,0.0,6,113.9,1,21.7,0,0.0,0,0.0,0,0.0,0,0.0
23,1984,163,24,2,46.699999999999996,20.185714285714283,15.628571428571428,24.071428571428573,141.29999999999998,74.41428571428571,3.6714285714285713,58.9,61.551,1,1,0,0,0,0,0,0.0,0,0.0,7,141.29999999999998,3,65.30000000000001,0,0.0,0,0.0,0,0.0,0,0.0
24,1984,170,25,5,40.1,18.4,15.914285714285716,20.985714285714288,128.79999999999998,91.82857142857142,2.857142857142857,25.4,41.278000000000006,1,0,0,0,0,0,0,0.0,0,0.0,7,128.79999999999998,1,22.9,0,0.0,0,0.0,0,0.0,0,0.0
25,1984,177,26,2,46.400000000000006,20.242857142857144,17.38571428571429,24.328571428571426,141.70000000000002,85.51428571428572,3.128571428571429,49.9,59.242000000000004,2,0,0,0,0,0,0,0.0,0,0.0,7,141.70000000000002,4,85.4,0,0.0,0,0.0,0,0.0,0,0.0
26,1984,184,27,3,80.19999999999999,21.62857142857143,18.97142857142857,26.185714285714287,151.4,89.77142857142857,3.6142857142857143,23.299999999999997,36.355,3,1,0,0,0,0,0,0.0,0,0.0,7,151.4,4,93.1,1,26.5,0,0.0,0,0.0,0,0.0
27,1984,191,28,2,16.6,21.285714285714285,18.17142857142857,24.357142857142858,149.0,87.31428571428572,2.8,29.8,42.03999999999999,1,0,0,0,0,0,0,0.0,0,0.0,7,149.0,4,92.2,0,0.0,0,0.0,0,0.0,0,0.0
28,1984,198,29,1,11.5,21.728571428571428,18.871428571428574,24.485714285714288,152.1,86.08571428571429,2.2285714285714286,55.6,60.983,1,0,0,0,0,0,0,0.0,0,0.0,7,152.1,7,152.1,0,0.0,0,0.0,0,0.0,0,0.0
29,1984,205,30,3,120.5,23.17142857142857,21.37142857142857,25.67142857142857,162.2,92.74285714285715,3.0142857142857147,31.2,46.878,1,1,1,1,1,1,0,0.0,0,0.0,7,162.2,7,162.2,0,0.0,0,0.0,0,0.0,0,0.0
30,1984,212,31,0,0.0,26.314285714285717,23.928571428571427,29.571428571428573,184.20000000000002,84.55714285714285,3.7285714285714286,65.9,66.368,0,0,0,0,0,0,0,0.0,0,0.0,7,184.20000000000002,7,184.20000000000002,5,134.9,0,0.0,0,0.0,0,0.0
31,1984,219,32,0,0.0,27.97142857142857,24.228571428571428,32.300000000000004,195.8,76.41428571428573,3.542857142857143,82.5,75.622,0,0,0,0,0,0,0,0.0,0,0.0,7,195.8,7,195.8,7,195.8,0,0.0,0,0.0,0,0.0
32,1984,226,33,5,5.8999999999999995,25.528571428571432,23.17142857142857,28.099999999999998,178.70000000000002,88.82857142857142,3.2428571428571424,45.1,53.105000000000004,0,0,0,0,0,0,0,0.0,0,0.0,7,178.70000000000002,7,178.70000000000002,5,130.1,0,0.0,0,0.0,0,0.0
33,1984,233,34,6,129.8,23.542857142857144,21.485714285714284,25.25714285714286,164.8,90.81428571428572,5.0,23.400000000000002,40.389,2,2,1,1,0,0,0,0.0,0,0.0,7,164.8,7,164.8,2,51.5,0,0.0,0,0.0,0,0.0
34,1984,240,35,6,102.80000000000001,22.214285714285715,20.157142857142862,25.4,155.5,90.62857142857142,3.0142857142857147,13.6,33.971999999999994,2,1,1,1,0,0,0,0.0,0,0.0,7,155.5,7,155.5,0,0.0,0,0.0,0,0.0,0,0.0
35,1984,247,36,2,60.199999999999996,19.985714285714288,16.999999999999996,22.7,139.9,90.04285714285713,3.3714285714285714,31.8,42.082,1,1,1,0,0,0,0,0.0,0,0.0,7,139.9,4,83.30000000000001,0,0.0,0,0.0,0,0.0,0,0.0
36,1984,254,37,0,0.0,19.25714285714286,14.485714285714286,23.6,134.8,78.4857142857143,3.1999999999999997,58.6,61.216,0,0,0,0,0,0,0,0.0,0,0.0,7,134.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
37,1984,261,38,3,21.5,18.900000000000002,14.22857142857143,22.88571428571429,132.3,85.39999999999999,3.542857142857143,51.5,58.856,1,0,0,0,0,0,0,0.0,0,0.0,7,132.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
38,1984,268,39,3,3.7,18.428571428571427,14.257142857142858,22.871428571428574,129.0,80.34285714285716,3.5142857142857147,28.4,45.138,0,0,0,0,0,0,0,0.0,0,0.0,7,129.0,1,20.8,0,0.0,0,0.0,0,0.0,0,0.0
39,1984,275,40,2,7.3,15.914285714285715,10.614285714285714,19.91428571428571,111.4,72.08571428571429,3.5714285714285716,43.2,49.135000000000005,0,0,0,0,0,0,0,0.0,0,0.0,3,55.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
40,1984,282,41,1,9.2,14.257142857142856,8.928571428571429,19.24285714285714,99.8,81.81428571428572,3.571428571428572,56.199999999999996,58.937,0,0,0,0,0,0,0,0.0,0,0.0,1,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
41,1984,289,42,0,0.0,13.37142857142857,8.042857142857143,18.557142857142857,86.6,68.88571428571429,4.4714285714285715,57.10000000000001,61.839,0,0,0,0,0,0,0,0.0,1,7.0,2,32.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
42,1984,296,43,1,0.8,14.885714285714288,9.257142857142856,20.757142857142856,94.30000000000001,67.82857142857144,4.0285714285714285,55.0,63.086,0,0,0,0,0,0,0,0.0,1,9.9,5,80.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
43,1984,303,44,0,0.0,9.814285714285713,3.5428571428571423,15.185714285714285,37.0,58.98571428571428,4.114285714285715,64.10000000000001,66.43599999999999,0,0,0,0,0,0,0,0.0,4,31.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
44,1984,310,45,2,24.7,14.085714285714285,8.885714285714284,19.857142857142858,98.6,74.34285714285714,3.514285714285714,45.7,51.38099999999999,1,0,0,0,0,0,0,0.0,0,0.0,2,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
45,1984,317,46,3,46.4,9.271428571428572,4.942857142857142,13.528571428571428,32.8,84.81428571428572,4.228571428571429,30.4,42.940999999999995,2,1,0,0,0,0,1,5.0,4,32.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
46,1984,324,47,3,34.3,7.328571428571428,2.771428571428572,12.057142857142855,11.7,81.98571428571428,5.114285714285714,31.399999999999995,45.641,2,0,0,0,0,0,1,4.8,6,39.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
47,1984,331,48,0,0.0,6.471428571428571,1.4857142857142858,11.742857142857146,0.0,63.871428571428574,4.771428571428572,57.900000000000006,64.124,0,0,0,0,0,0,3,11.7,7,45.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
48,1984,338,49,1,1.3,6.785714285714286,0.5285714285714286,12.828571428571427,0.0,69.74285714285715,4.199999999999999,38.300000000000004,46.24,0,0,0,0,0,0,1,3.5,7,47.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
49,1984,345,50,4,40.099999999999994,6.828571428571427,3.9999999999999996,9.957142857142857,0.0,90.08571428571429,4.571428571428571,11.600000000000001,30.083999999999996,2,0,0,0,0,0,2,8.2,7,47.79999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
50,1984,352,51,0,0.0,0.08571428571428592,-4.728571428571429,5.014285714285714,0.0,55.785714285714285,4.7,46.0,54.97899999999999,0,0,0,0,0,0,7,0.6000000000000014,7,0.6000000000000014,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
51,1984,359,52,0,0.0,-3.8714285714285714,-7.957142857142857,1.9285714285714284,0.0,42.74285714285714,4.842857142857143,53.0,62.587,0,0,0,0,0,0,7,-27.1,7,-27.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52,1984,366,1,0,0.0,0.01428571428571433,-4.3,6.042857142857143,0.0,60.51428571428572,4.357142857142858,53.5,56.933,0,0,0,0,0,0,7,0.10000000000000031,7,0.10000000000000031,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
53,1985,7,2,0,0.0,-2.0000000000000004,-6.514285714285714,3.4,0.0,48.81428571428571,5.0,57.8,59.807,0,0,0,0,0,0,7,-14.000000000000002,7,-14.000000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
54,1985,14,3,1,0.1,-2.557142857142857,-7.614285714285715,3.2714285714285714,0.0,54.24285714285715,5.014285714285714,56.699999999999996,61.204,0,0,0,0,0,0,7,-17.9,7,-17.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
55,1985,21,4,0,0.0,1.2571428571428573,-3.5428571428571423,7.028571428571429,0.0,61.07142857142857,4.414285714285715,47.9,57.825,0,0,0,0,0,0,6,3.2,7,8.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
56,1985,28,5,0,0.0,-0.6714285714285712,-5.314285714285714,5.2,0.0,51.08571428571429,5.685714285714286,60.699999999999996,65.328,0,0,0,0,0,0,6,-10.299999999999997,7,-4.699999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
57,1985,35,6,3,25.599999999999998,4.271428571428571,0.6714285714285715,8.842857142857143,0.0,75.72857142857143,4.771428571428571,27.800000000000004,39.635000000000005,1,0,0,0,0,0,6,23.8,7,29.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
58,1985,42,7,1,0.7,2.857142857142857,-1.5,7.414285714285714,0.0,62.4,4.357142857142857,49.4,55.332,0,0,0,0,0,0,7,20.0,7,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
59,1985,49,8,2,2.2,-1.0285714285714285,-4.9,2.7428571428571433,0.0,56.67142857142858,5.92857142857143,48.300000000000004,57.102999999999994,0,0,0,0,0,0,7,-7.199999999999999,7,-7.199999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
60,1985,56,9,4,13.3,3.142857142857143,-0.19999999999999998,6.685714285714286,0.0,76.7,4.300000000000001,24.700000000000003,40.239,0,0,0,0,0,0,5,10.1,7,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
61,1985,63,10,1,22.8,3.628571428571429,0.35714285714285715,7.542857142857143,0.0,57.971428571428575,4.014285714285715,52.3,55.478,1,0,0,0,0,0,6,19.400000000000002,7,25.400000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,1985,70,11,4,22.5,4.671428571428572,1.3285714285714287,8.485714285714286,0.0,67.81428571428572,3.7,36.699999999999996,46.944,0,0,0,0,0,0,4,14.899999999999999,7,32.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
63,1985,77,12,1,1.7,7.371428571428573,2.4857142857142853,10.385714285714286,0.0,72.27142857142857,4.385714285714286,55.699999999999996,62.01,0,0,0,0,0,0,0,0.0,7,51.60000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
64,1985,84,13,3,12.1,7.371428571428572,2.571428571428572,12.028571428571428,0.0,64.25714285714285,4.428571428571428,53.2,63.305,0,0,0,0,0,0,1,4.9,7,51.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
65,1985,91,14,1,42.2,10.528571428571428,5.471428571428571,13.7,46.9,62.800000000000004,4.499999999999999,53.3,55.549,1,1,0,0,0,0,0,0.0,3,26.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
66,1985,98,15,2,21.1,9.285714285714286,5.8,12.528571428571428,32.099999999999994,80.81428571428572,7.2,42.400000000000006,49.938,1,0,0,0,0,0,0,0.0,4,32.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
67,1985,105,16,2,10.899999999999999,11.742857142857144,7.114285714285714,15.314285714285713,73.1,84.71428571428571,4.371428571428572,58.800000000000004,63.035000000000004,1,0,0,0,0,0,0,0.0,2,19.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
68,1985,112,17,2,9.3,13.9,7.357142857142857,20.099999999999998,97.3,68.84285714285714,4.3999999999999995,66.0,70.899,0,0,0,0,0,0,0,0.0,0,0.0,2,33.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
69,1985,119,18,1,5.5,16.485714285714288,12.299999999999999,22.1,115.40000000000002,78.24285714285715,4.114285714285714,62.7,64.491,0,0,0,0,0,0,0,0.0,0,0.0,5,87.00000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
70,1985,126,19,3,20.5,15.842857142857142,11.442857142857145,20.014285714285712,110.89999999999999,79.85714285714286,4.414285714285714,56.400000000000006,58.757000000000005,1,0,0,0,0,0,0,0.0,0,0.0,5,88.69999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
71,1985,133,20,3,26.400000000000002,15.985714285714286,11.414285714285715,20.271428571428572,111.9,73.22857142857143,4.857142857142857,53.7,58.882,1,0,0,0,0,0,0,0.0,0,0.0,4,71.8,2,40.2,0,0.0,0,0.0,0,0.0,0,0.0
72,1985,140,21,1,1.2,15.785714285714286,11.442857142857145,19.957142857142856,110.5,77.31428571428572,5.028571428571429,72.1,74.311,0,0,0,0,0,0,0,0.0,0,0.0,4,69.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
73,1985,147,22,0,0.0,15.399999999999997,10.485714285714286,18.985714285714288,107.79999999999998,83.78571428571429,4.4,76.39999999999999,77.436,0,0,0,0,0,0,0,0.0,0,0.0,4,64.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
74,1985,154,23,3,6.199999999999999,18.27142857142857,13.700000000000003,22.485714285714288,127.89999999999999,76.51428571428572,3.3428571428571425,62.199999999999996,61.593999999999994,0,0,0,0,0,0,0,0.0,0,0.0,7,127.89999999999999,1,20.8,0,0.0,0,0.0,0,0.0,0,0.0
75,1985,161,24,4,17.0,16.599999999999998,13.42857142857143,18.8,116.19999999999999,89.04285714285713,4.214285714285714,33.9,44.958,0,0,0,0,0,0,0,0.0,0,0.0,5,86.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76,1985,168,25,1,2.0,19.914285714285715,15.885714285714284,23.471428571428568,139.4,84.75714285714285,3.1999999999999997,56.0,61.656000000000006,0,0,0,0,0,0,0,0.0,0,0.0,7,139.4,3,66.6,1,25.0,0,0.0,0,0.0,0,0.0
77,1985,175,26,6,30.200000000000003,19.25714285714286,17.914285714285715,21.285714285714285,134.8,96.64285714285712,2.9857142857142853,15.5,36.035,1,0,0,0,0,0,0,0.0,0,0.0,7,134.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
78,1985,182,27,5,53.199999999999996,20.842857142857145,18.628571428571426,23.642857142857142,145.9,92.74285714285715,2.528571428571429,18.299999999999997,33.108000000000004,2,1,0,0,0,0,0,0.0,0,0.0,7,145.9,5,106.3,0,0.0,0,0.0,0,0.0,0,0.0
79,1985,189,28,4,52.0,24.057142857142857,20.771428571428572,28.028571428571432,168.4,84.31428571428572,3.2285714285714286,36.199999999999996,45.842,2,1,0,0,0,0,0,0.0,0,0.0,7,168.4,7,168.4,3,78.8,0,0.0,0,0.0,0,0.0
80,1985,196,29,2,13.6,24.199999999999996,20.82857142857143,27.08571428571429,169.39999999999998,84.37142857142858,3.3142857142857145,63.3,66.11699999999999,1,0,0,0,0,0,0,0.0,0,0.0,7,169.39999999999998,7,169.39999999999998,2,52.2,0,0.0,0,0.0,0,0.0
81,1985,203,30,0,0.0,26.3,22.7,29.671428571428574,184.1,82.91428571428573,3.0,83.69999999999999,83.305,0,0,0,0,0,0,0,0.0,0,0.0,7,184.1,7,184.1,6,160.0,0,0.0,0,0.0,0,0.0
82,1985,210,31,1,0.3,25.599999999999998,22.571428571428566,28.557142857142853,179.2,85.14285714285714,3.3857142857142857,61.0,64.322,0,0,0,0,0,0,0,0.0,0,0.0,7,179.2,7,179.2,5,132.3,0,0.0,0,0.0,0,0.0
83,1985,217,32,4,82.9,24.571428571428573,20.957142857142856,27.37142857142857,172.0,88.8,3.657142857142857,56.699999999999996,58.533,1,1,1,1,0,0,0,0.0,0,0.0,7,172.0,7,172.0,2,51.900000000000006,0,0.0,0,0.0,0,0.0
84,1985,224,33,5,50.3,23.514285714285712,20.914285714285715,26.014285714285712,164.6,93.45714285714287,3.4285714285714284,25.7,39.827000000000005,2,0,0,0,0,0,0,0.0,0,0.0,7,164.6,7,164.6,1,25.0,0,0.0,0,0.0,0,0.0
85,1985,231,34,0,0.0,25.0,21.62857142857143,27.771428571428572,175.0,90.22857142857143,2.6142857142857143,74.1,75.124,0,0,0,0,0,0,0,0.0,0,0.0,7,175.0,7,175.0,3,76.6,0,0.0,0,0.0,0,0.0
86,1985,238,35,2,15.600000000000001,24.828571428571426,22.142857142857142,28.3,173.79999999999998,85.28571428571429,4.842857142857143,47.3,58.355000000000004,1,0,0,0,0,0,0,0.0,0,0.0,7,173.79999999999998,7,173.79999999999998,3,80.69999999999999,0,0.0,0,0.0,0,0.0
87,1985,245,36,4,38.199999999999996,24.88571428571429,21.699999999999996,28.542857142857144,174.20000000000002,85.10000000000001,3.142857142857143,55.7,57.303999999999995,2,0,0,0,0,0,0,0.0,0,0.0,7,174.20000000000002,7,174.20000000000002,4,105.80000000000001,0,0.0,0,0.0,0,0.0
88,1985,252,37,5,61.5,20.82857142857143,17.985714285714288,24.442857142857143,145.8,85.62857142857145,2.6999999999999997,20.900000000000002,35.986000000000004,2,1,0,0,0,0,0,0.0,0,0.0,7,145.8,5,108.9,0,0.0,0,0.0,0,0.0,0,0.0
89,1985,259,38,5,142.29999999999998,18.857142857142858,16.357142857142858,21.599999999999998,132.0,91.21428571428571,3.0285714285714285,10.0,30.250999999999998,2,2,1,1,0,0,0,0.0,0,0.0,7,132.0,1,20.7,0,0.0,0,0.0,0,0.0,0,0.0
90,1985,266,39,3,22.900000000000002,17.82857142857143,13.94285714285714,21.428571428571427,124.8,80.65714285714286,3.628571428571429,25.700000000000003,42.951,1,0,0,0,0,0,0,0.0,0,0.0,7,124.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
91,1985,273,40,2,50.4,15.928571428571429,10.485714285714286,20.900000000000002,111.5,72.08571428571429,5.128571428571429,42.3,49.628,1,1,0,0,0,0,0,0.0,0,0.0,5,83.10000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
92,1985,280,41,4,67.7,18.342857142857145,14.5,22.071428571428573,128.4,84.31428571428572,2.771428571428572,32.0,42.833,1,1,1,0,0,0,0,0.0,0,0.0,7,128.4,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
93,1985,287,42,2,9.2,13.414285714285715,9.157142857142857,17.514285714285716,93.9,74.52857142857144,3.9285714285714284,40.1,50.099000000000004,0,0,0,0,0,0,0,0.0,0,0.0,2,33.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
94,1985,294,43,2,2.8000000000000003,14.22857142857143,9.828571428571431,18.957142857142856,99.60000000000001,74.60000000000001,3.885714285714286,50.50000000000001,59.46999999999999,0,0,0,0,0,0,0,0.0,0,0.0,3,46.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
95,1985,301,44,3,3.5,14.0,9.557142857142859,18.014285714285716,98.0,78.65714285714286,4.214285714285714,46.9,55.50399999999999,0,0,0,0,0,0,0,0.0,0,0.0,4,63.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
96,1985,308,45,2,5.7,12.4,8.685714285714285,16.257142857142856,78.89999999999999,75.17142857142858,5.1000000000000005,30.8,41.635999999999996,0,0,0,0,0,0,0,0.0,1,7.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
97,1985,315,46,0,0.0,5.928571428571429,0.942857142857143,11.414285714285715,0.0,61.12857142857143,5.114285714285715,56.8,60.292,0,0,0,0,0,0,2,9.6,7,41.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
98,1985,322,47,1,4.4,8.77142857142857,3.9857142857142853,13.471428571428573,45.1,70.04285714285714,3.942857142857143,40.800000000000004,51.679999999999986,0,0,0,0,0,0,2,9.7,3,16.299999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
99,1985,329,48,1,6.5,4.8,-0.05714285714285705,10.242857142857144,0.0,66.11428571428571,4.471428571428571,50.2,59.751000000000005,0,0,0,0,0,0,4,9.9,7,33.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
100,1985,336,49,0,0.0,3.871428571428571,-1.2428571428571427,9.628571428571428,0.0,68.02857142857142,4.457142857142857,45.0,50.373,0,0,0,0,0,0,5,12.400000000000002,7,27.099999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
101,1985,343,50,0,0.0,-2.471428571428571,-6.6571428571428575,3.057142857142857,0.0,48.6,5.971428571428571,56.3,59.379000000000005,0,0,0,0,0,0,7,-17.299999999999997,7,-17.299999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
