year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2008,1,1,1,5.625,2.3,-1.5,0.5,0.2,76.4,4.1,290,3.4,34.5504,126.5711,13.74
2008,1,2,2,3.936,4.3,0.0,0.0,2.4,66.5,3.0,290,0.9,34.5504,126.5711,13.74
2008,1,3,3,6.614,8.7,-2.5,0.0,2.2,76.4,1.8,290,4.8,34.5504,126.5711,13.74
2008,1,4,4,9.443,7.8,-4.6,0.0,1.0,81.8,1.4,290,8.9,34.5504,126.5711,13.74
2008,1,5,5,8.854,8.8,-3.9,0.0,1.5,83.1,1.1,290,8.0,34.5504,126.5711,13.74
2008,1,6,6,9.228,12.2,-4.2,0.0,2.7,84.6,0.9,90,8.5,34.5504,126.5711,13.74
2008,1,7,7,8.569,12.6,-0.5,0.0,6.0,80.6,1.7,320,7.5,34.5504,126.5711,13.74
2008,1,8,8,4.095,8.8,-0.6,0.0,3.5,83.6,1.3,20,1.0,34.5504,126.5711,13.74
2008,1,9,9,9.051,12.5,-4.8,0.0,2.4,80.4,1.3,270,8.1,34.5504,126.5711,13.74
2008,1,10,10,6.157,12.5,-3.7,0.0,4.5,75.5,0.9,270,3.9,34.5504,126.5711,13.74
2008,1,11,11,3.453,13.8,5.0,16.8,8.9,79.5,2.9,90,0.0,34.5504,126.5711,13.74
2008,1,12,12,3.472,5.4,3.3,7.5,4.4,86.6,3.1,340,0.0,34.5504,126.5711,13.74
2008,1,13,13,5.96,3.3,-1.2,0.0,0.3,56.3,3.6,360,3.5,34.5504,126.5711,13.74
2008,1,14,14,9.319,4.6,-2.0,0.0,0.8,60.3,2.9,360,8.2,34.5504,126.5711,13.74
2008,1,15,15,6.519,4.1,-2.5,0.0,0.5,47.1,4.0,360,4.2,34.5504,126.5711,13.74
2008,1,16,16,5.625,1.0,-3.4,0.0,-0.8,59.5,4.7,20,2.9,34.5504,126.5711,13.74
2008,1,17,17,8.023,1.0,-7.6,0.0,-3.1,40.9,3.3,340,6.2,34.5504,126.5711,13.74
2008,1,18,18,8.138,2.8,-4.7,0.0,-1.1,39.6,3.6,360,6.3,34.5504,126.5711,13.74
2008,1,19,19,3.623,4.5,-6.0,0.0,-0.4,52.6,1.0,160,0.0,34.5504,126.5711,13.74
2008,1,20,20,3.648,3.6,-0.8,7.2,1.2,91.8,0.9,270,0.0,34.5504,126.5711,13.74
2008,1,21,21,3.673,5.3,1.1,4.5,3.3,88.1,2.3,70,0.0,34.5504,126.5711,13.74
2008,1,22,22,3.699,5.2,2.0,7.0,2.8,91.1,2.0,320,0.0,34.5504,126.5711,13.74
2008,1,23,23,4.611,4.7,-1.1,0.5,1.6,74.5,3.3,290,1.2,34.5504,126.5711,13.74
2008,1,24,24,8.869,0.7,-2.8,0.0,-1.6,62.4,4.0,20,6.9,34.5504,126.5711,13.74
2008,1,25,25,8.178,2.0,-2.4,0.0,-0.9,59.6,3.3,20,5.9,34.5504,126.5711,13.74
2008,1,26,26,5.308,2.4,-2.1,0.0,-0.3,53.1,3.3,320,2.0,34.5504,126.5711,13.74
2008,1,27,27,9.637,5.6,-5.5,0.0,-0.5,62.8,2.1,290,7.7,34.5504,126.5711,13.74
2008,1,28,28,3.87,2.0,-2.9,0.0,0.3,66.5,1.5,290,0.0,34.5504,126.5711,13.74
2008,1,29,29,6.107,5.7,0.0,0.0,2.3,64.9,2.7,290,2.9,34.5504,126.5711,13.74
2008,1,30,30,6.686,4.5,-0.5,0.0,1.4,59.0,4.2,290,3.6,34.5504,126.5711,13.74
2008,1,31,31,7.733,3.0,-2.1,0.0,-0.3,63.1,2.5,290,4.9,34.5504,126.5711,13.74
2008,2,1,32,8.346,4.5,-2.9,0.0,0.2,55.1,3.4,360,7.4,34.5504,126.5711,13.74
2008,2,2,33,4.549,4.5,-1.3,0.0,0.6,54.6,2.1,320,1.8,34.5504,126.5711,13.74
2008,2,3,34,6.75,5.2,-1.4,0.0,1.3,62.1,3.5,290,5.0,34.5504,126.5711,13.74
2008,2,4,35,4.99,5.0,-1.1,0.0,1.5,59.4,3.0,320,2.4,34.5504,126.5711,13.74
2008,2,5,36,6.999,4.2,-2.6,0.0,0.3,54.0,3.2,20,5.3,34.5504,126.5711,13.74
2008,2,6,37,7.368,3.7,-2.6,0.0,0.0,62.0,3.2,290,5.8,34.5504,126.5711,13.74
2008,2,7,38,5.736,3.2,-3.8,0.0,0.0,63.1,2.7,320,3.4,34.5504,126.5711,13.74
2008,2,8,39,9.432,4.8,-5.4,0.0,0.4,61.8,2.3,320,8.7,34.5504,126.5711,13.74
2008,2,9,40,6.13,3.2,-4.1,0.0,0.0,64.6,3.5,320,3.9,34.5504,126.5711,13.74
2008,2,10,41,9.575,7.1,-6.3,0.0,0.5,61.6,2.4,290,8.8,34.5504,126.5711,13.74
2008,2,11,42,8.565,6.7,-4.6,0.0,1.6,59.3,2.8,360,7.3,34.5504,126.5711,13.74
2008,2,12,43,8.11,0.7,-4.0,0.0,-1.8,57.3,4.0,20,6.6,34.5504,126.5711,13.74
2008,2,13,44,10.193,1.4,-6.9,0.1,-3.2,57.8,3.7,20,9.5,34.5504,126.5711,13.74
2008,2,14,45,9.815,5.5,-9.4,0.0,-1.7,68.9,2.2,320,8.9,34.5504,126.5711,13.74
2008,2,15,46,10.217,4.6,-7.7,0.0,0.0,54.6,2.7,320,9.4,34.5504,126.5711,13.74
2008,2,16,47,10.196,4.6,-7.5,0.0,-1.0,62.4,2.3,290,9.3,34.5504,126.5711,13.74
2008,2,17,48,8.74,4.2,-7.4,0.0,-1.5,65.5,2.4,360,7.2,34.5504,126.5711,13.74
2008,2,18,49,10.66,6.4,-10.8,0.0,-1.8,57.5,2.0,290,9.8,34.5504,126.5711,13.74
2008,2,19,50,10.426,6.7,-6.3,0.0,-0.6,69.0,2.2,290,9.4,34.5504,126.5711,13.74
2008,2,20,51,10.337,10.4,-7.2,0.0,0.3,63.9,2.0,290,9.2,34.5504,126.5711,13.74
2008,2,21,52,10.394,12.2,-9.1,0.0,1.1,58.3,1.5,70,9.2,34.5504,126.5711,13.74
2008,2,22,53,8.544,13.7,-4.7,0.0,5.0,73.9,1.7,250,6.6,34.5504,126.5711,13.74
2008,2,23,54,9.48,7.5,-2.4,0.0,0.9,52.1,4.2,20,7.8,34.5504,126.5711,13.74
2008,2,24,55,11.463,6.5,-6.5,0.0,-0.8,50.1,2.6,270,10.4,34.5504,126.5711,13.74
2008,2,25,56,3.782,7.4,-6.4,2.0,2.8,74.8,2.8,70,0.0,34.5504,126.5711,13.74
2008,2,26,57,5.159,4.6,0.4,14.5,1.7,78.6,3.6,290,1.8,34.5504,126.5711,13.74
2008,2,27,58,10.766,8.0,-1.7,0.0,3.2,63.3,3.9,290,9.2,34.5504,126.5711,13.74
2008,2,28,59,11.893,9.9,-5.1,0.0,1.8,68.1,1.8,250,10.6,34.5504,126.5711,13.74
2008,2,29,60,9.303,13.1,-3.7,0.1,4.7,74.8,2.7,250,7.1,34.5504,126.5711,13.74
2008,3,1,61,9.774,9.3,-3.6,0.0,3.6,60.5,3.1,290,9.5,34.5504,126.5711,13.74
2008,3,2,62,6.458,15.0,-3.4,0.0,7.7,69.6,2.3,270,4.6,34.5504,126.5711,13.74
2008,3,3,63,5.589,7.1,0.9,0.5,4.8,67.8,3.5,290,3.3,34.5504,126.5711,13.74
2008,3,4,64,7.867,7.1,-3.1,0.0,2.7,61.5,3.0,290,6.6,34.5504,126.5711,13.74
2008,3,5,65,10.708,9.1,-6.1,0.0,1.6,66.9,2.2,320,10.7,34.5504,126.5711,13.74
2008,3,6,66,7.781,10.9,-6.4,0.0,2.3,78.0,2.3,290,6.4,34.5504,126.5711,13.74
2008,3,7,67,10.434,9.2,-4.4,0.0,3.5,58.0,3.3,270,10.2,34.5504,126.5711,13.74
2008,3,8,68,9.224,13.2,-7.5,0.0,3.2,58.3,1.4,270,8.4,34.5504,126.5711,13.74
2008,3,9,69,3.418,9.2,-2.4,0.5,4.1,75.3,1.8,290,0.0,34.5504,126.5711,13.74
2008,3,10,70,7.971,13.0,-0.3,0.0,4.7,81.9,2.1,290,6.5,34.5504,126.5711,13.74
2008,3,11,71,9.195,17.9,-1.8,0.0,7.3,74.6,1.4,90,8.2,34.5504,126.5711,13.74
2008,3,12,72,10.078,17.7,-1.9,0.0,9.3,72.8,2.3,140,9.4,34.5504,126.5711,13.74
2008,3,13,73,5.184,18.6,9.0,0.1,12.9,69.0,3.8,90,2.4,34.5504,126.5711,13.74
2008,3,14,74,10.736,14.1,-0.3,0.0,7.1,66.9,3.8,290,10.2,34.5504,126.5711,13.74
2008,3,15,75,10.786,16.3,-1.3,0.1,8.4,73.4,2.2,250,10.2,34.5504,126.5711,13.74
2008,3,16,76,9.267,14.8,2.1,0.0,8.8,58.6,3.3,290,8.0,34.5504,126.5711,13.74
2008,3,17,77,11.107,18.1,-4.4,0.0,7.0,56.0,1.5,160,10.5,34.5504,126.5711,13.74
2008,3,18,78,3.599,14.7,0.3,2.0,9.5,67.4,2.5,110,0.0,34.5504,126.5711,13.74
2008,3,19,79,9.775,14.3,2.0,3.5,8.5,76.4,2.7,320,8.5,34.5504,126.5711,13.74
2008,3,20,80,10.7,16.9,-0.5,0.0,7.8,67.8,1.7,250,9.7,34.5504,126.5711,13.74
2008,3,21,81,11.197,16.6,-0.7,0.0,8.4,62.8,2.5,110,10.3,34.5504,126.5711,13.74
2008,3,22,82,4.874,14.0,2.9,11.5,11.4,77.1,5.5,110,1.6,34.5504,126.5711,13.74
2008,3,23,83,3.726,12.8,8.0,24.5,9.9,88.8,3.8,290,0.0,34.5504,126.5711,13.74
2008,3,24,84,9.832,15.4,6.7,0.0,10.3,74.1,3.2,270,8.2,34.5504,126.5711,13.74
2008,3,25,85,9.37,11.9,0.9,0.0,6.6,71.4,3.0,290,7.5,34.5504,126.5711,13.74
2008,3,26,86,11.899,12.7,-0.7,0.0,6.7,68.8,2.4,290,10.8,34.5504,126.5711,13.74
2008,3,27,87,6.023,11.9,3.0,3.5,6.9,76.3,1.9,70,2.9,34.5504,126.5711,13.74
2008,3,28,88,10.303,11.9,0.3,0.0,6.1,71.4,2.2,290,8.5,34.5504,126.5711,13.74
2008,3,29,89,3.901,12.6,1.2,9.5,8.4,78.5,4.2,90,0.0,34.5504,126.5711,13.74
2008,3,30,90,4.85,12.2,5.2,6.5,7.7,81.8,3.0,290,1.2,34.5504,126.5711,13.74
2008,3,31,91,7.733,10.9,5.2,0.0,7.5,70.0,3.6,290,4.9,34.5504,126.5711,13.74
2008,4,1,92,8.822,14.4,1.4,0.0,8.1,71.8,2.3,290,8.1,34.5504,126.5711,13.74
2008,4,2,93,7.345,14.6,2.1,0.0,9.1,75.8,2.5,250,5.9,34.5504,126.5711,13.74
2008,4,3,94,10.645,16.7,0.0,0.0,8.5,65.8,2.6,290,10.7,34.5504,126.5711,13.74
2008,4,4,95,10.265,18.1,1.1,0.0,9.7,65.4,1.5,250,10.1,34.5504,126.5711,13.74
2008,4,5,96,8.167,21.6,3.4,0.0,10.8,63.9,1.5,250,7.0,34.5504,126.5711,13.74
2008,4,6,97,8.608,20.3,2.4,10.5,12.4,62.6,3.3,140,7.6,34.5504,126.5711,13.74
2008,4,7,98,4.354,15.2,9.2,3.5,11.7,87.0,2.4,290,1.4,34.5504,126.5711,13.74
2008,4,8,99,9.709,18.8,5.4,0.0,13.5,59.3,4.2,140,9.1,34.5504,126.5711,13.74
2008,4,9,100,3.418,15.0,11.4,20.0,12.9,75.0,7.9,90,0.0,34.5504,126.5711,13.74
2008,4,10,101,5.459,17.1,6.7,2.5,12.4,79.9,3.6,360,2.9,34.5504,126.5711,13.74
2008,4,11,102,9.685,22.3,6.0,0.0,12.9,71.0,2.0,270,8.9,34.5504,126.5711,13.74
2008,4,12,103,9.516,18.3,5.2,0.0,12.5,78.6,3.3,140,8.6,34.5504,126.5711,13.74
2008,4,13,104,5.184,18.2,7.7,0.0,12.8,76.3,2.4,290,2.4,34.5504,126.5711,13.74
2008,4,14,105,8.894,20.8,5.7,0.0,11.8,74.0,1.8,250,7.6,34.5504,126.5711,13.74
2008,4,15,106,9.435,22.1,3.9,0.0,13.6,62.8,1.4,250,8.3,34.5504,126.5711,13.74
2008,4,16,107,3.554,15.8,10.9,0.5,13.3,86.0,1.3,90,0.0,34.5504,126.5711,13.74
2008,4,17,108,6.158,22.5,9.8,0.0,14.8,78.6,1.8,250,3.6,34.5504,126.5711,13.74
2008,4,18,109,11.164,23.4,6.6,0.0,14.8,70.3,2.1,290,10.5,34.5504,126.5711,13.74
2008,4,19,110,11.367,24.0,6.0,0.0,14.8,72.5,2.3,250,10.7,34.5504,126.5711,13.74
2008,4,20,111,3.648,20.3,7.5,0.0,15.7,52.6,4.1,90,0.0,34.5504,126.5711,13.74
2008,4,21,112,3.746,19.2,15.0,0.0,16.7,44.9,4.8,110,0.1,34.5504,126.5711,13.74
2008,4,22,113,3.993,20.7,13.5,8.0,16.3,59.9,2.8,90,0.4,34.5504,126.5711,13.74
2008,4,23,114,6.529,15.8,8.5,11.0,12.0,74.6,3.3,290,3.8,34.5504,126.5711,13.74
2008,4,24,115,12.353,15.1,3.8,0.0,9.8,57.1,3.1,290,11.6,34.5504,126.5711,13.74
2008,4,25,116,11.903,18.5,2.2,0.0,12.4,56.9,3.7,200,10.9,34.5504,126.5711,13.74
2008,4,26,117,4.859,14.0,4.5,0.0,10.7,70.9,5.2,270,1.4,34.5504,126.5711,13.74
2008,4,27,118,5.27,13.7,1.2,0.3,9.3,77.5,1.0,50,1.9,34.5504,126.5711,13.74
2008,4,28,119,11.741,19.8,8.7,0.0,14.2,70.3,3.5,140,10.4,34.5504,126.5711,13.74
2008,4,29,120,9.531,24.0,10.6,0.0,16.6,81.6,2.7,230,7.4,34.5504,126.5711,13.74
2008,4,30,121,10.588,26.1,11.6,0.0,18.2,77.9,2.2,70,8.7,34.5504,126.5711,13.74
2008,5,1,122,10.386,24.6,11.9,0.0,18.4,74.6,3.4,140,10.4,34.5504,126.5711,13.74
2008,5,2,123,11.435,28.0,9.5,0.0,18.7,70.0,1.7,250,11.9,34.5504,126.5711,13.74
2008,5,3,124,11.055,29.9,9.7,0.0,18.9,66.5,1.5,250,11.3,34.5504,126.5711,13.74
2008,5,4,125,3.346,23.3,10.3,17.5,16.0,80.9,2.5,70,0.0,34.5504,126.5711,13.74
2008,5,5,126,11.052,20.3,7.6,0.5,14.7,64.9,3.4,290,11.2,34.5504,126.5711,13.74
2008,5,6,127,11.501,24.9,4.3,0.0,15.3,50.0,1.7,230,11.8,34.5504,126.5711,13.74
2008,5,7,128,10.434,24.4,8.0,0.0,16.3,70.0,2.1,250,10.2,34.5504,126.5711,13.74
2008,5,8,129,6.105,24.0,9.9,0.0,17.0,71.5,1.4,270,3.9,34.5504,126.5711,13.74
2008,5,9,130,3.627,22.3,13.5,0.0,18.2,48.8,5.3,90,0.3,34.5504,126.5711,13.74
